numNodes,maxDelayTime,createEdgeThreshold,edgeWeightMax,correctness,standardDeviation
4,8,5,10,8,3.582011
4,8,5,15,10,4.277414
4,8,5,20,13,5.087968
4,8,7,5,9,3.411342
4,8,7,10,13,4.797672
4,8,7,15,19,6.002479
4,8,7,20,25,7.464834
4,8,9,5,12,4.135656
4,8,9,10,21,6.055486
4,8,9,15,31,7.913827
4,8,9,20,39,7.113069
5,8,1,5,0,0.985358
5,8,1,10,0,1.165605
5,8,1,15,1,1.308177
5,8,1,20,1,1.416629
5,8,3,5,3,2.068787
5,8,3,10,4,2.481667
5,8,3,15,5,2.93173
5,8,3,20,6,3.314846
5,8,5,5,6,2.920061
5,8,5,10,8,3.669801
5,8,5,15,11,4.336194
5,8,5,20,14,5.825077
5,8,7,5,9,3.476325
5,8,7,10,14,4.90749
5,8,7,15,20,7.036858
5,8,7,20,30,9.147244
5,8,9,5,12,4.473442
5,8,9,10,21,6.450617
5,8,9,15,35,9.415269
5,8,9,20,47,7.553173
6,8,1,5,0,1.025012
6,8,1,10,0,1.213964
6,8,1,15,1,1.25904
6,8,1,20,1,1.431742
6,8,3,5,3,2.172238
6,8,3,10,4,2.69315
6,8,3,15,5,2.871293
6,8,3,20,6,3.406723
6,8,5,5,6,2.917793
6,8,5,10,8,3.643066
6,8,5,15,11,4.367752
6,8,5,20,14,5.925793
6,8,7,5,9,3.477066
6,8,7,10,14,4.986622
6,8,7,15,20,7.156911
6,8,7,20,33,11.002683
6,8,9,5,13,4.335848
6,8,9,10,21,6.202836
6,8,9,15,38,11.225846
6,8,9,20,51,7.639829
7,8,1,5,0,1.027762
7,8,1,10,0,1.240368
7,8,1,15,1,1.299479
7,8,1,20,1,1.44618
7,8,3,5,3,2.196876
7,8,3,10,4,2.518089
7,8,3,15,5,2.953832
7,8,3,20,6,3.276665
7,8,5,5,6,2.859684
7,8,5,10,8,3.674772
7,8,5,15,11,4.537257
7,8,5,20,14,6.064511
7,8,7,5,9,3.647956
7,8,7,10,14,4.823415
7,8,7,15,20,7.031217
7,8,7,20,35,12.906092
7,8,9,5,13,4.200045
7,8,9,10,21,6.290795
7,8,9,15,40,12.243231
7,8,9,20,55,7.241964
8,8,1,5,0,1.004295
8,8,1,10,0,1.137977
8,8,1,15,1,1.291926
8,8,1,20,1,1.4935
8,8,3,5,3,2.070652
8,8,3,10,4,2.525813
8,8,3,15,5,2.905536
8,8,3,20,6,3.355914
8,8,5,5,6,2.801361
8,8,5,10,8,3.657684
8,8,5,15,11,4.384685
8,8,5,20,15,6.032454
8,8,7,5,9,3.756033
8,8,7,10,14,4.873023
8,8,7,15,20,7.161796
8,8,7,20,37,14.522025
8,8,9,5,13,4.34391
8,8,9,10,21,6.472673
8,8,9,15,41,13.755185
8,8,9,20,58,7.426783
3,9,1,5,0,1.259893
3,9,1,10,1,1.423888
3,9,1,15,1,1.561542
3,9,1,20,1,1.657263
3,9,3,5,4,2.530526
3,9,3,10,5,2.79838
3,9,3,15,6,3.140053
3,9,3,20,7,3.432074
3,9,5,5,7,3.218052
3,9,5,10,10,3.937317
3,9,5,15,12,4.126779
3,9,5,20,14,4.462321
3,9,7,5,12,4.035919
3,9,7,10,16,4.664889
3,9,7,15,20,5.018977
3,9,7,20,22,5.152531
3,9,9,5,17,4.75437
3,9,9,10,23,5.187511
3,9,9,15,27,4.897646
3,9,9,20,30,4.813644
4,9,1,5,0,1.164457
4,9,1,10,1,1.378237
4,9,1,15,1,1.581803
4,9,1,20,1,1.744081
4,9,3,5,4,2.598201
4,9,3,10,5,3.016819
4,9,3,15,6,3.226846
4,9,3,20,8,3.702771
4,9,5,5,8,3.624532
4,9,5,10,11,4.438042
4,9,5,15,14,5.242278
4,9,5,20,17,5.989127
4,9,7,5,13,4.440662
4,9,7,10,18,5.580057
4,9,7,15,25,6.727086
4,9,7,20,30,7.094268
4,9,9,5,19,5.334428
4,9,9,10,28,6.707861
4,9,9,15,38,7.145415
4,9,9,20,42,6.07168
5,9,1,5,0,1.234706
5,9,1,10,1,1.498775
5,9,1,15,1,1.569911
5,9,1,20,1,1.740974
5,9,3,5,4,2.610884
5,9,3,10,5,3.034833
5,9,3,15,6,3.348176
5,9,3,20,8,4.012197
5,9,5,5,8,3.522256
5,9,5,10,11,4.403152
5,9,5,15,15,5.50799
5,9,5,20,19,6.838567
5,9,7,5,12,4.532565
5,9,7,10,19,6.03718
5,9,7,15,27,7.872365
5,9,7,20,37,8.596482
5,9,9,5,18,5.155308
5,9,9,10,30,7.412053
5,9,9,15,45,8.914964
5,9,9,20,49,6.447468
6,9,1,5,1,1.276095
6,9,1,10,1,1.466945
6,9,1,15,1,1.637276
6,9,1,20,1,1.71335
6,9,3,5,4,2.587024
6,9,3,10,5,2.944246
6,9,3,15,7,3.609344
6,9,3,20,8,4.096444
6,9,5,5,8,3.689647
6,9,5,10,11,4.404577
6,9,5,15,14,5.370646
6,9,5,20,19,6.894125
6,9,7,5,13,4.344633
6,9,7,10,19,6.122835
6,9,7,15,28,8.25352
6,9,7,20,41,10.696163
6,9,9,5,18,5.357096
6,9,9,10,30,7.784728
6,9,9,15,50,9.918592
6,9,9,20,53,6.339218
7,9,1,5,1,1.270802
7,9,1,10,1,1.423637
7,9,1,15,1,1.627661
7,9,1,20,1,1.711832
7,9,3,5,4,2.729276
7,9,3,10,5,3.243822
7,9,3,15,7,3.496063
7,9,3,20,8,4.089682
7,9,5,5,8,3.609257
7,9,5,10,11,4.5218
